subID,group,age_group,condition,time,speed
s01,CG,OA,A,1,0.8
s01,CG,OA,A,2,0.65
s01,CG,OA,A,3,0.63
s01,CG,OA,A,4,0.75
s01,CG,OA,B,1,1.22
s01,CG,OA,B,2,0.78
s01,CG,OA,B,3,0.66
s01,CG,OA,B,4,0.71
s01,CG,OA,C,1,0.97
s01,CG,OA,C,2,0.77
s01,CG,OA,C,3,0.78
s01,CG,OA,C,4,0.56
s02,CG,OA,A,1,0.81
s02,CG,OA,A,2,0.82
s02,CG,OA,A,3,0.68
s02,CG,OA,A,4,0.66
s02,CG,OA,B,1,1.28
s02,CG,OA,B,2,0.94
s02,CG,OA,B,3,0.72
s02,CG,OA,B,4,0.65
s02,CG,OA,C,1,0.99
s02,CG,OA,C,2,0.77
s02,CG,OA,C,3,0.73
s02,CG,OA,C,4,0.61
s03,CG,OA,A,1,0.6
s03,CG,OA,A,2,0.67
s03,CG,OA,A,3,0.56
s03,CG,OA,A,4,0.56
s03,CG,OA,B,1,0.8
s03,CG,OA,B,2,0.85
s03,CG,OA,B,3,0.64
s03,CG,OA,B,4,0.57
s03,CG,OA,C,1,0.7
s03,CG,OA,C,2,0.74
s03,CG,OA,C,3,0.63
s03,CG,OA,C,4,0.57
s04,CG,OA,A,1,0.81
s04,CG,OA,A,2,0.67
s04,CG,OA,A,3,0.62
s04,CG,OA,A,4,0.55
s04,CG,OA,B,1,1.25
s04,CG,OA,B,2,0.88
s04,CG,OA,B,3,0.7
s04,CG,OA,B,4,0.7
s04,CG,OA,C,1,0.95
s04,CG,OA,C,2,0.65
s04,CG,OA,C,3,0.66
s04,CG,OA,C,4,0.54
s05,CG,OA,A,1,0.8
s05,CG,OA,A,2,0.86
s05,CG,OA,A,3,0.63
s05,CG,OA,A,4,0.6
s05,CG,OA,B,1,1.24
s05,CG,OA,B,2,0.86
s05,CG,OA,B,3,0.88
s05,CG,OA,B,4,0.75
s05,CG,OA,C,1,1.02
s05,CG,OA,C,2,0.83
s05,CG,OA,C,3,0.85
s05,CG,OA,C,4,0.72
s06,CG,OA,A,1,0.87
s06,CG,OA,A,2,0.78
s06,CG,OA,A,3,0.71
s06,CG,OA,A,4,0.7
s06,CG,OA,B,1,1.21
s06,CG,OA,B,2,0.91
s06,CG,OA,B,3,0.7
s06,CG,OA,B,4,0.68
s06,CG,OA,C,1,0.97
s06,CG,OA,C,2,0.79
s06,CG,OA,C,3,0.69
s06,CG,OA,C,4,0.65
s07,CG,OA,A,1,0.94
s07,CG,OA,A,2,0.78
s07,CG,OA,A,3,0.8
s07,CG,OA,A,4,0.74
s07,CG,OA,B,1,1.31
s07,CG,OA,B,2,0.93
s07,CG,OA,B,3,0.81
s07,CG,OA,B,4,0.76
s07,CG,OA,C,1,1.12
s07,CG,OA,C,2,0.92
s07,CG,OA,C,3,0.75
s07,CG,OA,C,4,0.76
s08,CG,OA,A,1,0.68
s08,CG,OA,A,2,0.55
s08,CG,OA,A,3,0.48
s08,CG,OA,A,4,0.47
s08,CG,OA,B,1,1.02
s08,CG,OA,B,2,0.69
s08,CG,OA,B,3,0.5
s08,CG,OA,B,4,0.47
s08,CG,OA,C,1,0.81
s08,CG,OA,C,2,0.63
s08,CG,OA,C,3,0.51
s08,CG,OA,C,4,0.48
s09,CG,OA,A,1,0.82
s09,CG,OA,A,2,0.85
s09,CG,OA,A,3,0.8
s09,CG,OA,A,4,0.82
s09,CG,OA,B,1,0.9
s09,CG,OA,B,2,0.8
s09,CG,OA,B,3,0.75
s09,CG,OA,B,4,0.66
s09,CG,OA,C,1,1.03
s09,CG,OA,C,2,0.89
s09,CG,OA,C,3,0.74
s09,CG,OA,C,4,0.67
s10,CG,OA,A,1,0.72
s10,CG,OA,A,2,0.63
s10,CG,OA,A,3,0.54
s10,CG,OA,A,4,0.55
s10,CG,OA,B,1,1.12
s10,CG,OA,B,2,0.8
s10,CG,OA,B,3,0.65
s10,CG,OA,B,4,0.66
s10,CG,OA,C,1,0.9
s10,CG,OA,C,2,0.61
s10,CG,OA,C,3,0.6
s10,CG,OA,C,4,0.51
s11,CG,YA,A,1,1.37
s11,CG,YA,A,2,1.06
s11,CG,YA,A,3,0.91
s11,CG,YA,A,4,0.86
s11,CG,YA,B,1,1.37
s11,CG,YA,B,2,1.25
s11,CG,YA,B,3,0.85
s11,CG,YA,B,4,0.9
s11,CG,YA,C,1,1.39
