"subID","load","terrain","fatigue","speed"
"S01","Light","Flat","Pre",1.293
"S01","Light","Flat","Post",1.075
"S01","Light","Uneven","Pre",1.101
"S01","Light","Uneven","Post",1.032
"S01","Light","Stairs","Pre",0.943
"S01","Light","Stairs","Post",0.85
"S01","Heavy","Flat","Pre",1.315
"S01","Heavy","Flat","Post",0.905
"S01","Heavy","Uneven","Pre",1.087
"S01","Heavy","Uneven","Post",0.812
"S01","Heavy","Stairs","Pre",0.83
"S01","Heavy","Stairs","Post",0.66
"S02","Light","Flat","Pre",1.345
"S02","Light","Flat","Post",1.344
"S02","Light","Uneven","Pre",1.212
"S02","Light","Uneven","Post",1.123
"S02","Light","Stairs","Pre",1.187
"S02","Light","Stairs","Post",1.18
"S02","Heavy","Flat","Pre",1.371
"S02","Heavy","Flat","Post",1.214
"S02","Heavy","Uneven","Pre",1.099
"S02","Heavy","Uneven","Post",1.003
"S02","Heavy","Stairs","Pre",0.876
"S02","Heavy","Stairs","Post",0.707
"S03","Light","Flat","Pre",1.33
"S03","Light","Flat","Post",1.097
"S03","Light","Uneven","Pre",1.163
"S03","Light","Uneven","Post",1.156
"S03","Light","Stairs","Pre",0.901
"S03","Light","Stairs","Post",0.936
"S03","Heavy","Flat","Pre",1.128
"S03","Heavy","Flat","Post",0.916
"S03","Heavy","Uneven","Pre",0.864
"S03","Heavy","Uneven","Post",0.74
"S03","Heavy","Stairs","Pre",0.859
"S03","Heavy","Stairs","Post",0.637
"S04","Light","Flat","Pre",1.476
"S04","Light","Flat","Post",1.376
"S04","Light","Uneven","Pre",1.384
"S04","Light","Uneven","Post",1.181
"S04","Light","Stairs","Pre",1.206
"S04","Light","Stairs","Post",1.091
"S04","Heavy","Flat","Pre",1.421
"S04","Heavy","Flat","Post",1.334
"S04","Heavy","Uneven","Pre",1.239
"S04","Heavy","Uneven","Post",1.088
"S04","Heavy","Stairs","Pre",0.857
"S04","Heavy","Stairs","Post",0.884
"S05","Light","Flat","Pre",1.546
"S05","Light","Flat","Post",1.261
"S05","Light","Uneven","Pre",1.196
"S05","Light","Uneven","Post",1.065
"S05","Light","Stairs","Pre",1.054
"S05","Light","Stairs","Post",0.819
"S05","Heavy","Flat","Pre",1.282
"S05","Heavy","Flat","Post",1.27
"S05","Heavy","Uneven","Pre",1.258
"S05","Heavy","Uneven","Post",0.873
"S05","Heavy","Stairs","Pre",0.941
"S05","Heavy","Stairs","Post",0.603
"S06","Light","Flat","Pre",1.374
"S06","Light","Flat","Post",1.366
"S06","Light","Uneven","Pre",1.315
"S06","Light","Uneven","Post",1.227
"S06","Light","Stairs","Pre",1.123
"S06","Light","Stairs","Post",1.14
"S06","Heavy","Flat","Pre",1.245
"S06","Heavy","Flat","Post",0.943
"S06","Heavy","Uneven","Pre",1.184
"S06","Heavy","Uneven","Post",1.004
"S06","Heavy","Stairs","Pre",0.932
"S06","Heavy","Stairs","Post",0.819
"S07","Light","Flat","Pre",1.363
"S07","Light","Flat","Post",1.249
"S07","Light","Uneven","Pre",1.24
"S07","Light","Uneven","Post",1.112
"S07","Light","Stairs","Pre",1.008
"S07","Light","Stairs","Post",0.796
"S07","Heavy","Flat","Pre",1.162
"S07","Heavy","Flat","Post",1.095
"S07","Heavy","Uneven","Pre",1.095
"S07","Heavy","Uneven","Post",0.864
"S07","Heavy","Stairs","Pre",0.933
"S07","Heavy","Stairs","Post",0.526
"S08","Light","Flat","Pre",1.342
"S08","Light","Flat","Post",1.495
"S08","Light","Uneven","Pre",1.16
"S08","Light","Uneven","Post",1.16
"S08","Light","Stairs","Pre",1.135
"S08","Light","Stairs","Post",1.154
"S08","Heavy","Flat","Pre",1.209
"S08","Heavy","Flat","Post",1.147
"S08","Heavy","Uneven","Pre",1.093
"S08","Heavy","Uneven","Post",0.87
"S08","Heavy","Stairs","Pre",0.802
"S08","Heavy","Stairs","Post",0.774
"S09","Light","Flat","Pre",1.443
"S09","Light","Flat","Post",1.252
"S09","Light","Uneven","Pre",1.278
"S09","Light","Uneven","Post",1.202
"S09","Light","Stairs","Pre",1.117
"S09","Light","Stairs","Post",1.102
"S09","Heavy","Flat","Pre",1.279
"S09","Heavy","Flat","Post",0.982
"S09","Heavy","Uneven","Pre",1.142
"S09","Heavy","Uneven","Post",0.817
"S09","Heavy","Stairs","Pre",0.952
"S09","Heavy","Stairs","Post",0.67
"S10","Light","Flat","Pre",1.424
"S10","Light","Flat","Post",1.238
"S10","Light","Uneven","Pre",1.374
"S10","Light","Uneven","Post",0.988
"S10","Light","Stairs","Pre",1.204
"S10","Light","Stairs","Post",0.982
"S10","Heavy","Flat","Pre",1.149
"S10","Heavy","Flat","Post",1.105
"S10","Heavy","Uneven","Pre",1.085
"S10","Heavy","Uneven","Post",0.738
"S10","Heavy","Stairs","Pre",0.923
"S10","Heavy","Stairs","Post",0.925
"S11","Light","Flat","Pre",1.227
"S11","Light","Flat","Post",1.184
"S11","Light","Uneven","Pre",1.149
"S11","Light","Uneven","Post",0.857
"S11","Light","Stairs","Pre",0.81
"S11","Light","Stairs","Post",0.632
"S11","Heavy","Flat","Pre",1.103
"S11","Heavy","Flat","Post",1.018
"S11","Heavy","Uneven","Pre",0.939
"S11","Heavy","Uneven","Post",0.598
"S11","Heavy","Stairs","Pre",0.574
"S11","Heavy","Stairs","Post",0.384
"S12","Light","Flat","Pre",1.343
"S12","Light","Flat","Post",1.451
"S12","Light","Uneven","Pre",1.355
"S12","Light","Uneven","Post",1.358
"S12","Light","Stairs","Pre",1.162
"S12","Light","Stairs","Post",1.047
"S12","Heavy","Flat","Pre",1.254
"S12","Heavy","Flat","Post",1.147
"S12","Heavy","Uneven","Pre",1.195
"S12","Heavy","Uneven","Post",1.141
"S12","Heavy","Stairs","Pre",1.046
"S12","Heavy","Stairs","Post",0.792
"S13","Light","Flat","Pre",1.236
"S13","Light","Flat","Post",1.141
"S13","Light","Uneven","Pre",1.197
"S13","Light","Uneven","Post",1.135
"S13","Light","Stairs","Pre",1.183
"S13","Light","Stairs","Post",0.981
"S13","Heavy","Flat","Pre",1.158
"S13","Heavy","Flat","Post",0.948
"S13","Heavy","Uneven","Pre",1.032
"S13","Heavy","Uneven","Post",0.82
"S13","Heavy","Stairs","Pre",0.839
"S13","Heavy","Stairs","Post",0.728
"S14","Light","Flat","Pre",1.253
"S14","Light","Flat","Post",1.104
"S14","Light","Uneven","Pre",1.058
"S14","Light","Uneven","Post",1.05
"S14","Light","Stairs","Pre",0.949
"S14","Light","Stairs","Post",0.908
"S14","Heavy","Flat","Pre",1.08
"S14","Heavy","Flat","Post",1.016
"S14","Heavy","Uneven","Pre",0.938
"S14","Heavy","Uneven","Post",0.808
"S14","Heavy","Stairs","Pre",0.9
"S14","Heavy","Stairs","Post",0.658
"S15","Light","Flat","Pre",1.03
"S15","Light","Flat","Post",1.135
"S15","Light","Uneven","Pre",1.102
"S15","Light","Uneven","Post",1.21
"S15","Light","Stairs","Pre",1.036
"S15","Light","Stairs","Post",0.977
"S15","Heavy","Flat","Pre",0.986
"S15","Heavy","Flat","Post",0.82
"S15","Heavy","Uneven","Pre",1.095
"S15","Heavy","Uneven","Post",0.92
"S15","Heavy","Stairs","Pre",0.687
"S15","Heavy","Stairs","Post",0.5
"S16","Light","Flat","Pre",1.463
"S16","Light","Flat","Post",1.376
"S16","Light","Uneven","Pre",1.377
"S16","Light","Uneven","Post",1.141
"S16","Light","Stairs","Pre",1.235
"S16","Light","Stairs","Post",1.116
"S16","Heavy","Flat","Pre",1.237
"S16","Heavy","Flat","Post",1.075
"S16","Heavy","Uneven","Pre",1.123
"S16","Heavy","Uneven","Post",0.844
"S16","Heavy","Stairs","Pre",1.092
"S16","Heavy","Stairs","Post",0.666
"S17","Light","Flat","Pre",1.278
"S17","Light","Flat","Post",1.009
"S17","Light","Uneven","Pre",1.161
"S17","Light","Uneven","Post",1.045
"S17","Light","Stairs","Pre",1.014
"S17","Light","Stairs","Post",0.865
"S17","Heavy","Flat","Pre",1.205
