PID,RT,modality,stim
301,1024,Audio-only,gown
301,838,Audio-only,might
301,1060,Audio-only,fern
301,882,Audio-only,vane
301,971,Audio-only,pup
301,1064,Audio-only,rise
301,1283,Audio-only,hill
301,982,Audio-only,caught
301,1144,Audio-only,leg
301,743,Audio-only,hurt
301,639,Audio-only,shack
301,853,Audio-only,tell
301,649,Audio-only,worth
301,757,Audio-only,shook
301,958,Audio-only,douse
301,942,Audio-only,jail
301,748,Audio-only,bog
301,994,Audio-only,thatch
301,810,Audio-only,bit
301,1241,Audio-only,pop
301,750,Audio-only,maim
301,1193,Audio-only,knit
301,815,Audio-only,fuzz
301,1213,Audio-only,thin
301,797,Audio-only,sauce
301,685,Audio-only,ball
301,991,Audio-only,bide
301,810,Audio-only,tall
301,978,Audio-only,war
301,898,Audio-only,shin
301,1132,Audio-only,beg
301,976,Audio-only,pout
301,718,Audio-only,tote
301,847,Audio-only,czar
301,757,Audio-only,hat
301,960,Audio-only,rich
301,1021,Audio-only,set
301,653,Audio-only,tail
301,955,Audio-only,use
301,973,Audio-only,hush
301,939,Audio-only,math
301,1115,Audio-only,save
301,686,Audio-only,goof
301,1026,Audio-only,load
301,1070,Audio-only,miss
301,1017,Audio-only,jar
301,824,Audio-only,home
301,680,Audio-only,lob
301,989,Audio-only,their
301,998,Audio-only,yam
301,1103,Audio-only,coat
301,1013,Audio-only,rev
301,1468,Audio-only,cup
301,1017,Audio-only,fight
301,701,Audio-only,peace
301,648,Audio-only,cease
301,599,Audio-only,catch
301,955,Audio-only,doug
301,859,Audio-only,peak
301,679,Audio-only,year
301,721,Audio-only,vet
301,962,Audio-only,dive
301,652,Audio-only,let
301,692,Audio-only,bud
301,854,Audio-only,fed
301,637,Audio-only,rack
301,657,Audio-only,fief
301,877,Audio-only,bag
301,805,Audio-only,ties
301,706,Audio-only,hate
301,901,Audio-only,ran
301,655,Audio-only,nape
301,861,Audio-only,booth
301,806,Audio-only,rude
301,996,Audio-only,sing
301,744,Audio-only,pick
301,1199,Audio-only,gnome
301,803,Audio-only,hid
301,1352,Audio-only,gob
301,890,Audio-only,lug
301,623,Audio-only,men
301,1381,Audio-only,putt
301,1020,Audio-only,but
301,839,Audio-only,got
301,1139,Audio-only,burp
301,850,Audio-only,moth
301,769,Audio-only,hack
301,631,Audio-only,bus
301,623,Audio-only,curt
301,965,Audio-only,neat
301,962,Audio-only,chair
301,1005,Audio-only,gab
301,997,Audio-only,dip
301,923,Audio-only,lime
301,1100,Audio-only,cheap
301,814,Audio-only,peach
301,1031,Audio-only,wrath
301,995,Audio-only,web
301,1102,Audio-only,pass
301,795,Audio-only,jewel
301,982,Audio-only,shop
301,908,Audio-only,tap
301,1091,Audio-only,ghoul
301,1050,Audio-only,safe
301,762,Audio-only,mail
301,751,Audio-only,pan
301,791,Audio-only,foul
301,1017,Audio-only,voice
301,880,Audio-only,phase
301,1076,Audio-only,tar
301,812,Audio-only,veal
301,1009,Audio-only,shim
301,1180,Audio-only,yawn
301,1048,Audio-only,mill
301,1164,Audio-only,fad
301,1067,Audio-only,jug
301,806,Audio-only,cite
301,1209,Audio-only,couch
301,1250,Audio-only,wage
301,1099,Audio-only,wipe
301,1201,Audio-only,juke
301,1886,Audio-only,song
301,1779,Audio-only,sown
301,1574,Audio-only,van
301,1086,Audio-only,pool
301,1599,Audio-only,rash
301,880,Audio-only,sob
301,1276,Audio-only,vague
301,1717,Audio-only,roach
301,1311,Audio-only,sheath
301,1482,Audio-only,hive
301,1176,Audio-only,gawk
301,1297,Audio-only,seem
301,1048,Audio-only,curl
301,1132,Audio-only,leaf
301,1209,Audio-only,cone
301,1042,Audio-only,tag
301,1526,Audio-only,give
301,1254,Audio-only,gave
301,932,Audio-only,dodge
301,891,Audio-only,sage
301,1352,Audio-only,gang
301,1391,Audio-only,roof
301,1567,Audio-only,gag
301,1048,Audio-only,fudge
301,825,Audio-only,cot
301,818,Audio-only,pen
301,761,Audio-only,won
301,1238,Audio-only,lone
301,1439,Audio-only,rib
301,1387,Audio-only,chase
301,1412,Audio-only,sod
301,1310,Audio-only,shun
301,932,Audio-only,peeve
301,1333,Audio-only,gal
301,987,Audio-only,wed
301,1318,Audio-only,dire
301,1339,Audio-only,chewed
301,1010,Audio-only,luge
301,694,Audio-only,perm
301,902,Audio-only,sit
301,701,Audio-only,loud
301,1050,Audio-only,lied
301,979,Audio-only,goal
301,1213,Audio-only,folk
301,1252,Audio-only,thug
301,1321,Audio-only,these
301,1423,Audio-only,jam
301,704,Audio-only,meek
301,906,Audio-only,sash
301,815,Audio-only,budge
301,962,Audio-only,teach
301,1309,Audio-only,shown
301,993,Audio-only,shut
301,1283,Audio-only,hike
301,1190,Audio-only,bear
301,864,Audio-only,judge
301,1315,Audio-only,moon
301,1414,Audio-only,half
301,1153,Audio-only,myth
301,1393,Audio-only,peace
301,1394,Audio-only,rose
301,1018,Audio-only,kid
301,934,Audio-only,kale
301,1048,Audio-only,shave
301,1151,Audio-only,hiss
301,1128,Audio-only,hip
301,1180,Audio-only,cage
301,824,Audio-only,toil
301,1025,Audio-only,calm
301,1223,Audio-only,room
301,967,Audio-only,hut
301,1232,Audio-only,perch
301,1195,Audio-only,yolk
301,1454,Audio-only,hitch
301,1370,Audio-only,will
301,1178,Audio-only,chin
301,1200,Audio-only,doubt
301,1317,Audio-only,nerve
301,1393,Audio-only,peep
301,1126,Audio-only,pile
301,1211,Audio-only,right
301,1138,Audio-only,noon
301,1003,Audio-only,pet
301,928,Audio-only,moot
301,1029,Audio-only,tough
301,1031,Audio-only,rake
302,934,Audio-only,cheat
302,834,Audio-only,shade
302,762,Audio-only,perch
302,959,Audio-only,meek
302,714,Audio-only,vice
302,905,Audio-only,luge
302,695,Audio-only,young
302,629,Audio-only,wage
302,713,Audio-only,hiss
302,710,Audio-only,hip
302,654,Audio-only,wedge
302,918,Audio-only,booze
302,983,Audio-only,peep
302,1038,Audio-only,shun
302,1004,Audio-only,hitch
302,1023,Audio-only,roof
302,1341,Audio-only,lone
302,1169,Audio-only,late
302,1044,Audio-only,calm
302,1352,Audio-only,nerve
302,991,Audio-only,dire
302,659,Audio-only,jam
302,747,Audio-only,gag
302,891,Audio-only,hive
302,1032,Audio-only,sod
302,766,Audio-only,pile
302,829,Audio-only,gig
302,899,Audio-only,seem
302,1169,Audio-only,tough
302,1040,Audio-only,folk
302,919,Audio-only,dull
302,729,Audio-only,babe
302,934,Audio-only,days
302,1163,Audio-only,sheath
302,1374,Audio-only,perm
302,994,Audio-only,song
302,1194,Audio-only,moon
302,672,Audio-only,pool
302,563,Audio-only,won
302,902,Audio-only,pour
302,907,Audio-only,sip
302,759,Audio-only,rule
302,1031,Audio-only,cuff
302,912,Audio-only,couch
302,924,Audio-only,lied
302,1199,Audio-only,fad
302,572,Audio-only,deck
302,1124,Audio-only,wick
302,969,Audio-only,rook
302,719,Audio-only,mill
302,809,Audio-only,these
302,598,Audio-only,wed
302,732,Audio-only,jowl
302,908,Audio-only,peeve
302,1323,Audio-only,soar
302,973,Audio-only,yawn
302,778,Audio-only,right
302,864,Audio-only,fudge
302,1086,Audio-only,sob
302,1006,Audio-only,beat
302,583,Audio-only,lad
302,1223,Audio-only,gal
302,1020,Audio-only,sit
302,1126,Audio-only,weep
302,1064,Audio-only,shave
302,1066,Audio-only,gawk
302,767,Audio-only,budge
302,1380,Audio-only,cage
302,1090,Audio-only,toil
302,843,Audio-only,hut
302,648,Audio-only,loud
302,1095,Audio-only,shim
302,1652,Audio-only,cab
302,923,Audio-only,lop
302,729,Audio-only,goal
302,1002,Audio-only,thug
302,939,Audio-only,cot
302,922,Audio-only,writhe
302,624,Audio-only,kid
302,785,Audio-only,shed
302,1513,Audio-only,moot
302,961,Audio-only,cone
302,1431,Audio-only,cell
302,824,Audio-only,tag
302,784,Audio-only,dim
302,1346,Audio-only,give
302,953,Audio-only,those
302,922,Audio-only,teach
302,583,Audio-only,not
302,626,Audio-only,cite
302,700,Audio-only,cash
302,933,Audio-only,half
302,1512,Audio-only,juke
302,857,Audio-only,bear
302,1399,Audio-only,will
302,1031,Audio-only,wipe
302,632,Audio-only,leaf
302,1031,Audio-only,nose
302,1156,Audio-only,leak
302,1192,Audio-only,tout
302,985,Audio-only,rang
302,1534,Audio-only,rear
302,1206,Audio-only,wave
302,471,Audio-only,rut
302,1645,Audio-only,bathe
302,679,Audio-only,lab
302,1121,Audio-only,yen
302,1229,Audio-only,side
302,461,Audio-only,lawn
302,1102,Audio-only,date
302,948,Audio-only,core
302,830,Audio-only,whale
302,827,Audio-only,heed
302,782,Audio-only,neck
302,990,Audio-only,kite
302,1409,Audio-only,such
302,686,Audio-only,wool
302,1190,Audio-only,night
302,886,Audio-only,wren
302,1389,Audio-only,hutch
302,1410,Audio-only,ping
302,1600,Audio-only,pitch
302,1272,Audio-only,womb
302,1380,Audio-only,dawn
302,966,Audio-only,mum
302,1401,Audio-only,wife
302,1068,Audio-only,chalk
302,650,Audio-only,tub
302,1315,Audio-only,line
302,979,Audio-only,like
302,1032,Audio-only,mob
302,912,Audio-only,game
302,1147,Audio-only,shear
302,646,Audio-only,raid
302,1598,Audio-only,sane
302,992,Audio-only,had
302,1271,Audio-only,mall
302,1078,Audio-only,latch
302,1727,Audio-only,kneel
302,1469,Audio-only,well
302,1691,Audio-only,dime
302,1693,Audio-only,botch
302,1707,Audio-only,peat
302,1991,Audio-only,ship
302,1775,Audio-only,doze
302,1212,Audio-only,fate
302,1348,Audio-only,cheek
302,985,Audio-only,bush
302,581,Audio-only,tease
302,1203,Audio-only,gain
302,923,Audio-only,goon
302,1214,Audio-only,pouch
302,684,Audio-only,name
302,1229,Audio-only,beak
302,1239,Audio-only,wrote
302,885,Audio-only,toll
302,1448,Audio-only,ref
302,1172,Audio-only,does
302,740,Audio-only,wet
302,1415,Audio-only,hair
302,1702,Audio-only,siege
302,1238,Audio-only,ridge
302,1181,Audio-only,mat
302,1064,Audio-only,mass
302,1171,Audio-only,lobe
302,1480,Audio-only,boat
302,1536,Audio-only,guile
302,1186,Audio-only,hoof
302,1216,Audio-only,bin
302,1095,Audio-only,sack
302,1231,Audio-only,dash
302,1390,Audio-only,sap
302,1126,Audio-only,zing
302,1600,Audio-only,cope
302,1044,Audio-only,height
302,1187,Audio-only,leave
